batch,record_id,city,old_level,strictness,amount,teacher_budget_total,request_budget_status,suggested_action,suggested_level,amount_fit_levels,teacher_fit_levels,limited_range,standard_range,comfortable_range,premium_range
legacy_controlled_1000_20260506,v3_request_000102,上海,limited,soft,3500,2787,below,full_request_rebudget_or_regen,limited,,,3900-5000,5600-7500,7900-11000,11500-16700
legacy_controlled_1000_20260506,v3_request_000104,杭州,standard,hard,3400,2782,below,full_request_rebudget_or_regen,limited,,,3500-4200,4600-5800,6100-8200,8500-12000
legacy_controlled_1000_20260506,v3_request_000093,贵阳,standard,soft,6600,5392,below,relabel_level_and_amount_to_teacher_total,limited,,limited,5100-6300,6900-9000,9400-12900,13400-19100
legacy_controlled_1000_20260506,v3_request_000106,杭州,limited,hard,2000,1728,below,full_request_rebudget_or_regen,limited,,,3100-3500,3800-4600,4800-6200,6400-8700
legacy_controlled_1000_20260506,v3_request_000101,长沙,standard,soft,3000,1926,below,relabel_budget_level_only,limited,limited,,2700-3300,3700-4800,5100-7000,7300-10400
legacy_controlled_1000_20260506,v3_request_000113,重庆,limited,soft,1200,1119,below,full_request_rebudget_or_regen,limited,,,1700-2000,2200-2800,3000-4000,4200-5900
legacy_controlled_1000_20260506,v3_request_000117,大理,comfortable,soft,5800,4672,below,relabel_budget_level_only,standard,standard,,3700-4400,4700-5900,6100-8000,8300-11500
legacy_controlled_1000_20260506,v3_request_000115,呼和浩特,standard,soft,18600,14010,above,relabel_budget_level_only,comfortable,comfortable,standard,9500-11400,12500-15900,16700-22400,23300-32800
legacy_controlled_1000_20260506,v3_request_000116,大理,standard,hard,6800,5800,below,relabel_budget_level_only,limited,limited,,6500-7800,8500-10800,11300-15100,15700-22000
legacy_controlled_1000_20260506,v3_request_000123,武汉,standard,soft,9100,5983,below,full_request_rebudget_or_regen,standard,,,7100-8400,9200-11400,11900-15700,16300-22600
legacy_controlled_1000_20260506,v3_request_000136,桂林,standard,soft,4600,4550,below,relabel_budget_level_only,limited,limited,limited,4200-5100,5700-7400,7700-10600,11100-15800
legacy_controlled_1000_20260506,v3_request_000134,北京,limited,soft,11000,8608,above,relabel_level_and_amount_to_teacher_total,limited,,limited,8600-10500,11600-14900,15600-21200,22100-31300
legacy_controlled_1000_20260506,v3_request_000138,重庆,limited,soft,5400,5003,below,full_request_rebudget_or_regen,limited,,,5500-6900,7700-10200,10700-14900,15500-22400
legacy_controlled_1000_20260506,v3_request_000144,北京,limited,soft,4100,4112,below,full_request_rebudget_or_regen,limited,,,4400-5500,6100-7900,8300-11500,12000-17100
legacy_controlled_1000_20260506,v3_request_000149,沈阳,standard,soft,1800,1718,below,relabel_budget_level_only,limited,limited,limited,1400-1800,2100-2700,2900-4000,4200-6100
legacy_controlled_1000_20260506,v3_request_000145,黄山,limited,hard,7500,5650,above,full_request_rebudget_or_regen,standard,,,5800-6900,7600-9700,10100-13500,14100-19800
legacy_controlled_1000_20260506,v3_request_000142,成都,limited,soft,7200,5876,below,full_request_rebudget_or_regen,limited,,,7800-9500,10600-13700,14400-19600,20400-29000
legacy_controlled_1000_20260506,v3_request_000151,杭州,standard,soft,2300,1833,below,full_request_rebudget_or_regen,limited,,,2400-2900,3200-4000,4200-5500,5800-8100
legacy_controlled_1000_20260506,v3_request_000157,哈尔滨,limited,hard,2200,1844,below,full_request_rebudget_or_regen,limited,,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000127,昆明,limited,soft,3300,3282,below,full_request_rebudget_or_regen,limited,,,3700-4600,5100-6600,6900-9400,9800-14000
legacy_controlled_1000_20260506,v3_request_000160,青岛,standard,soft,2100,1746,below,relabel_budget_level_only,limited,limited,,2000-2300,2500-3000,3200-4100,4300-5800
legacy_controlled_1000_20260506,v3_request_000133,桂林,limited,soft,11500,8320,above,relabel_budget_level_only,standard,standard,limited,7900-9600,10600-13600,14300-19300,20200-28600
legacy_controlled_1000_20260506,v3_request_000172,南京,standard,soft,3400,2010,below,relabel_budget_level_only,limited,limited,,3000-3600,4000-5100,5400-7200,7600-10700
legacy_controlled_1000_20260506,v3_request_000174,厦门,limited,soft,1800,1719,below,full_request_rebudget_or_regen,limited,,,3200-3600,3800-4600,4800-6000,6200-8300
legacy_controlled_1000_20260506,v3_request_000173,大理,standard,soft,1900,1686,below,relabel_level_and_amount_to_teacher_total,limited,,limited,1400-1800,2100-2800,3000-4300,4500-6600
legacy_controlled_1000_20260506,v3_request_000175,北京,premium,soft,5100,3871,below,relabel_level_and_amount_to_teacher_total,limited,,limited,3500-3900,4200-5000,5200-6600,6800-9100
legacy_controlled_1000_20260506,v3_request_000177,泉州,standard,soft,4500,2798,above,relabel_level_and_amount_to_teacher_total,limited,,limited,2400-3000,3300-4300,4600-6300,6600-9400
legacy_controlled_1000_20260506,v3_request_000170,成都,standard,soft,5200,4219,below,relabel_level_and_amount_to_teacher_total,limited,,limited,3900-4900,5500-7400,7800-10900,11400-16600
legacy_controlled_1000_20260506,v3_request_000186,长沙,limited,soft,1200,1057,below,full_request_rebudget_or_regen,limited,,,2100-2500,2600-3200,3300-4300,4400-6000
legacy_controlled_1000_20260506,v3_request_000159,哈尔滨,limited,soft,5600,5358,above,relabel_level_and_amount_to_teacher_total,limited,,limited,4300-5500,6300-8600,9100-12900,13500-19800
legacy_controlled_1000_20260506,v3_request_000185,广州,standard,soft,3400,2376,below,relabel_budget_level_only,limited,limited,,3000-3700,4100-5300,5600-7700,8000-11500
legacy_controlled_1000_20260506,v3_request_000188,泉州,comfortable,soft,9300,6952,below,relabel_level_and_amount_to_teacher_total,standard,,standard,5100-6300,6900-9000,9400-12900,13400-19100
legacy_controlled_1000_20260506,v3_request_000178,深圳,standard,soft,3000,1956,below,relabel_budget_level_only,limited,limited,,2400-3100,3500-4800,5000-7100,7500-10900
legacy_controlled_1000_20260506,v3_request_000190,武汉,limited,soft,1800,1434,below,full_request_rebudget_or_regen,limited,,,2200-2600,2900-3600,3800-5100,5300-7400
legacy_controlled_1000_20260506,v3_request_000192,沈阳,comfortable,soft,2300,2057,below,relabel_budget_level_only,standard,standard,limited,1800-2100,2300-2800,2900-3800,3900-5300
legacy_controlled_1000_20260506,v3_request_000165,深圳,standard,soft,10800,8300,below,relabel_level_and_amount_to_teacher_total,limited,,limited,7900-9800,10900-14200,14900-20400,21300-30500
legacy_controlled_1000_20260506,v3_request_000200,宁波,standard,soft,3600,3248,below,relabel_level_and_amount_to_teacher_total,limited,,limited,2900-3400,3800-4800,5000-6700,7000-9900
legacy_controlled_1000_20260506,v3_request_000203,昆明,limited,soft,1600,1314,below,full_request_rebudget_or_regen,limited,,,1700-2100,2400-3100,3300-4600,4800-6900
legacy_controlled_1000_20260506,v3_request_000199,苏州,standard,soft,1400,1371,below,full_request_rebudget_or_regen,limited,,,1500-1800,2000-2600,2700-3700,3800-5400
legacy_controlled_1000_20260506,v3_request_000202,重庆,standard,soft,2500,1798,below,relabel_budget_level_only,limited,limited,,2100-2600,2800-3700,3800-5200,5500-7800
legacy_controlled_1000_20260506,v3_request_000206,北京,standard,soft,3200,2694,below,relabel_budget_level_only,limited,limited,,2900-3600,4000-5300,5500-7600,8000-11400
legacy_controlled_1000_20260506,v3_request_000208,济南,standard,hard,4100,3968,below,relabel_budget_level_only,limited,limited,limited,3400-4100,4600-5900,6300-8500,8900-12700
legacy_controlled_1000_20260506,v3_request_000207,重庆,limited,soft,11500,8404,above,full_request_rebudget_or_regen,standard,,,8600-10500,11600-14900,15600-21200,22100-31300
legacy_controlled_1000_20260506,v3_request_000215,桂林,standard,soft,3300,2682,below,relabel_budget_level_only,limited,limited,,3200-3800,4200-5300,5600-7500,7800-10900
legacy_controlled_1000_20260506,v3_request_000216,郑州,standard,soft,9000,6556,above,full_request_rebudget_or_regen,comfortable,,,4800-6000,6700-8700,9200-12600,13200-18900
legacy_controlled_1000_20260506,v3_request_000213,昆明,standard,soft,4600,4494,below,relabel_budget_level_only,limited,limited,limited,3800-4700,5200-6700,7000-9500,10000-14200
legacy_controlled_1000_20260506,v3_request_000217,上海,standard,soft,3600,2670,below,full_request_rebudget_or_regen,limited,,,2800-3400,3900-5100,5400-7500,7800-11200
legacy_controlled_1000_20260506,v3_request_000220,大连,limited,soft,3000,2315,below,full_request_rebudget_or_regen,limited,,,3200-4100,4600-6200,6500-9100,9500-13800
legacy_controlled_1000_20260506,v3_request_000223,桂林,standard,soft,5900,4069,below,full_request_rebudget_or_regen,limited,,,4700-5600,6200-7900,8300-11100,11600-16300
legacy_controlled_1000_20260506,v3_request_000225,重庆,standard,soft,1600,1583,below,full_request_rebudget_or_regen,limited,,,1900-2300,2500-3100,3200-4300,4500-6200
legacy_controlled_1000_20260506,v3_request_000228,郑州,standard,soft,19200,15656,above,relabel_budget_level_only,comfortable,comfortable,standard,10200-12100,13200-16600,17400-23100,24000-33500
legacy_controlled_1000_20260506,v3_request_000222,深圳,limited,hard,3000,2890,below,full_request_rebudget_or_regen,limited,,,3900-4900,5500-7400,7800-10900,11400-16600
legacy_controlled_1000_20260506,v3_request_000236,大理,standard,soft,1900,1358,below,full_request_rebudget_or_regen,limited,,,2300-2600,2800-3300,3500-4400,4600-6100
legacy_controlled_1000_20260506,v3_request_000209,三亚,standard,soft,5500,5448,below,full_request_rebudget_or_regen,limited,,,4600-5400,5900-7400,7800-10300,10700-14900
legacy_controlled_1000_20260506,v3_request_000240,重庆,standard,soft,2300,2285,below,full_request_rebudget_or_regen,limited,,,2700-3100,3300-3900,4000-5100,5200-7000
legacy_controlled_1000_20260506,v3_request_000245,长沙,standard,soft,2100,1392,below,relabel_budget_level_only,limited,limited,,2000-2300,2500-3000,3200-4100,4300-5800
legacy_controlled_1000_20260506,v3_request_000251,济南,limited,soft,1900,1738,below,full_request_rebudget_or_regen,limited,,,2100-2600,3000-4000,4200-5900,6200-9100
legacy_controlled_1000_20260506,v3_request_000252,北京,limited,soft,1400,1400,below,full_request_rebudget_or_regen,limited,,,2300-2700,2900-3500,3700-4700,4900-6600
legacy_controlled_1000_20260506,v3_request_000250,北京,limited,hard,3100,2832,below,full_request_rebudget_or_regen,limited,,,3200-4100,4600-6300,6700-9400,9900-14500
legacy_controlled_1000_20260506,v3_request_000256,深圳,standard,soft,3000,2786,below,relabel_budget_level_only,limited,limited,limited,2400-3100,3500-4800,5000-7100,7500-10900
legacy_controlled_1000_20260506,v3_request_000263,杭州,standard,soft,2300,2089,below,full_request_rebudget_or_regen,limited,,,2800-3300,3600-4400,4600-6000,6200-8500
legacy_controlled_1000_20260506,v3_request_000268,丽江,limited,soft,1400,1339,below,full_request_rebudget_or_regen,limited,,,2300-2600,2800-3300,3500-4400,4600-6100
legacy_controlled_1000_20260506,v3_request_000233,昆明,comfortable,soft,5700,4038,below,relabel_budget_level_only,standard,standard,limited,3800-4700,5200-6700,7000-9500,10000-14200
legacy_controlled_1000_20260506,v3_request_000253,西安,standard,soft,6200,6165,below,full_request_rebudget_or_regen,limited,,,5000-6000,6600-8500,8900-12000,12500-17700
legacy_controlled_1000_20260506,v3_request_000274,黄山,comfortable,soft,2300,1830,below,relabel_budget_level_only,standard,standard,limited,1800-2100,2300-2800,2900-3800,3900-5300
legacy_controlled_1000_20260506,v3_request_000272,南京,standard,soft,1400,1400,below,relabel_budget_level_only,limited,limited,limited,1200-1400,1600-2000,2000-2700,2800-3800
legacy_controlled_1000_20260506,v3_request_000277,北京,limited,hard,1400,1208,below,full_request_rebudget_or_regen,limited,,,1700-2200,2500-3300,3500-4900,5100-7400
legacy_controlled_1000_20260506,v3_request_000278,天津,premium,soft,9500,7294,below,relabel_budget_level_only,comfortable,comfortable,standard,4800-5600,6000-7400,7700-10000,10400-14200
legacy_controlled_1000_20260506,v3_request_000261,厦门,standard,soft,2200,1989,below,full_request_rebudget_or_regen,limited,,,2500-2800,3000-3500,3700-4600,4800-6400
legacy_controlled_1000_20260506,v3_request_000266,重庆,comfortable,hard,13900,10920,above,relabel_budget_level_only,premium,premium,comfortable,5300-6400,7100-9200,9600-13100,13700-19400
legacy_controlled_1000_20260506,v3_request_000285,北京,limited,soft,3900,2960,below,full_request_rebudget_or_regen,limited,,,4500-5400,6000-7600,8000-10700,11200-15800
legacy_controlled_1000_20260506,v3_request_000293,昆明,limited,hard,1200,932,below,full_request_rebudget_or_regen,limited,,,1500-1800,2000-2600,2700-3700,3800-5400
legacy_controlled_1000_20260506,v3_request_000269,青岛,standard,soft,5100,4118,below,relabel_level_and_amount_to_teacher_total,limited,,limited,4000-5000,5700-7600,8000-11100,11700-16900
legacy_controlled_1000_20260506,v3_request_000298,上海,standard,soft,2100,2028,below,relabel_budget_level_only,limited,limited,limited,1900-2300,2600-3400,3600-5000,5200-7500
legacy_controlled_1000_20260506,v3_request_000281,厦门,standard,soft,9800,5964,above,relabel_budget_level_only,comfortable,comfortable,limited,4900-6100,6900-9100,9600-13400,14000-20300
legacy_controlled_1000_20260506,v3_request_000290,武汉,comfortable,soft,3200,3138,below,relabel_budget_level_only,standard,standard,standard,1900-2400,2600-3400,3500-4800,5000-7100
legacy_controlled_1000_20260506,v3_request_000302,桂林,standard,soft,3000,2582,below,relabel_budget_level_only,limited,limited,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000303,呼和浩特,standard,soft,2100,1430,below,relabel_budget_level_only,limited,limited,,1800-2100,2300-2800,2900-3800,3900-5300
legacy_controlled_1000_20260506,v3_request_000296,广州,standard,soft,3900,3850,below,full_request_rebudget_or_regen,standard,,,2900-3600,4000-5200,5500-7600,7900-11400
legacy_controlled_1000_20260506,v3_request_000301,洛阳,limited,soft,4300,4302,above,full_request_rebudget_or_regen,limited,,,3200-4100,4600-6200,6500-9100,9500-13800
legacy_controlled_1000_20260506,v3_request_000307,西安,standard,soft,12400,8095,below,full_request_rebudget_or_regen,standard,,,9800-11600,12600-15700,16400-21600,22400-31100
legacy_controlled_1000_20260506,v3_request_000308,张家界,limited,soft,5700,4161,above,relabel_budget_level_only,standard,standard,limited,4100-5000,5500-7000,7400-9900,10300-14600
legacy_controlled_1000_20260506,v3_request_000309,昆明,standard,soft,1800,1630,below,relabel_budget_level_only,limited,limited,,1700-2100,2400-3100,3300-4600,4800-6900
legacy_controlled_1000_20260506,v3_request_000311,厦门,limited,soft,5700,4904,below,full_request_rebudget_or_regen,limited,,,5900-7600,8600-11600,12300-17300,18200-26600
legacy_controlled_1000_20260506,v3_request_000325,桂林,limited,soft,6800,4928,above,relabel_budget_level_only,standard,standard,limited,4700-6000,6700-9000,9500-13300,13900-20200
legacy_controlled_1000_20260506,v3_request_000328,北京,standard,soft,2300,2082,below,full_request_rebudget_or_regen,limited,,,2700-3100,3300-3900,4000-5100,5200-7000
legacy_controlled_1000_20260506,v3_request_000329,重庆,standard,soft,2100,1862,below,full_request_rebudget_or_regen,limited,,,2200-2500,2700-3300,3500-4500,4700-6400
legacy_controlled_1000_20260506,v3_request_000332,苏州,standard,soft,5500,3518,below,full_request_rebudget_or_regen,standard,,,4200-5100,5700-7400,7700-10600,11100-15800
legacy_controlled_1000_20260506,v3_request_000335,丽江,limited,soft,8100,6800,above,relabel_level_and_amount_to_teacher_total,limited,,limited,6200-7700,8700-11500,12200-16900,17700-25500
legacy_controlled_1000_20260506,v3_request_000312,南京,standard,soft,9800,9800,below,relabel_budget_level_only,limited,limited,limited,9000-10600,11500-14300,15000-19700,20500-28400
legacy_controlled_1000_20260506,v3_request_000342,大理,standard,soft,4500,3620,below,relabel_budget_level_only,limited,limited,,4400-5200,5800-7300,7600-10100,10500-14700
legacy_controlled_1000_20260506,v3_request_000338,济南,standard,soft,3300,2728,below,relabel_budget_level_only,limited,limited,,2800-3500,4000-5300,5600-7900,8300-12100
legacy_controlled_1000_20260506,v3_request_000319,上海,standard,soft,3700,3300,below,relabel_budget_level_only,limited,limited,,3400-4300,4900-6600,6900-9700,10100-14700
legacy_controlled_1000_20260506,v3_request_000346,济南,limited,soft,1300,1211,below,full_request_rebudget_or_regen,limited,,,1600-1900,2100-2600,2700-3500,3700-5100
legacy_controlled_1000_20260506,v3_request_000345,丽江,limited,soft,3500,3602,below,full_request_rebudget_or_regen,limited,,,4700-5600,6200-7900,8300-11100,11600-16300
legacy_controlled_1000_20260506,v3_request_000353,济南,premium,soft,20200,15336,above,relabel_level_and_amount_to_teacher_total,premium,,premium,5200-6400,7000-9100,9600-13000,13500-19200
legacy_controlled_1000_20260506,v3_request_000361,宁波,standard,soft,2400,2016,below,relabel_budget_level_only,limited,limited,limited,2000-2400,2600-3300,3400-4600,4800-6700
legacy_controlled_1000_20260506,v3_request_000367,重庆,standard,soft,3800,3768,below,relabel_budget_level_only,limited,limited,limited,3500-4200,4600-5800,6100-8200,8500-12000
legacy_controlled_1000_20260506,v3_request_000362,三亚,comfortable,soft,8600,8560,below,full_request_rebudget_or_regen,standard,,,4900-6000,6600-8500,8900-12100,12600-17800
legacy_controlled_1000_20260506,v3_request_000369,昆明,standard,soft,3700,2252,below,relabel_budget_level_only,limited,limited,,3200-3800,4200-5300,5600-7500,7800-10900
legacy_controlled_1000_20260506,v3_request_000372,洛阳,limited,soft,1200,1013,below,full_request_rebudget_or_regen,limited,,,1400-1700,1800-2300,2500-3300,3400-4900
legacy_controlled_1000_20260506,v3_request_000375,桂林,limited,soft,1900,1734,below,full_request_rebudget_or_regen,limited,,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000357,哈尔滨,standard,soft,7700,7405,below,relabel_level_and_amount_to_teacher_total,limited,,limited,6300-7600,8300-10600,11100-14900,15500-21800
legacy_controlled_1000_20260506,v3_request_000379,杭州,standard,hard,8800,6472,below,full_request_rebudget_or_regen,standard,,,6900-8300,9100-11600,12100-16300,17000-23900
legacy_controlled_1000_20260506,v3_request_000380,苏州,standard,soft,3000,2840,below,relabel_budget_level_only,limited,limited,limited,2700-3300,3700-4800,5100-7000,7300-10400
legacy_controlled_1000_20260506,v3_request_000376,泉州,comfortable,soft,4100,4032,below,relabel_budget_level_only,limited,limited,limited,3900-4300,4500-5200,5400-6500,6700-8600
legacy_controlled_1000_20260506,v3_request_000381,北京,standard,soft,3400,2926,below,relabel_budget_level_only,limited,limited,limited,2900-3600,4000-5300,5500-7600,8000-11400
legacy_controlled_1000_20260506,v3_request_000392,西安,standard,soft,1900,1141,below,relabel_budget_level_only,limited,limited,,1700-2000,2200-2800,3000-4000,4200-5900
legacy_controlled_1000_20260506,v3_request_000389,青岛,standard,soft,3300,3352,below,relabel_budget_level_only,limited,limited,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000393,广州,standard,soft,1200,829,below,relabel_budget_level_only,limited,limited,,1000-1300,1400-1800,1900-2600,2700-3900
legacy_controlled_1000_20260506,v3_request_000398,深圳,standard,soft,1500,1193,below,full_request_rebudget_or_regen,limited,,,1700-2000,2200-2800,3000-4000,4200-5900
legacy_controlled_1000_20260506,v3_request_000377,南京,standard,soft,4100,2550,below,relabel_budget_level_only,limited,limited,,3400-4300,4800-6300,6600-9100,9600-13800
legacy_controlled_1000_20260506,v3_request_000397,苏州,limited,soft,1400,1371,below,full_request_rebudget_or_regen,limited,,,2100-2500,2800-3500,3700-5000,5200-7300
legacy_controlled_1000_20260506,v3_request_000403,广州,limited,soft,3400,2808,below,full_request_rebudget_or_regen,limited,,,3900-4900,5500-7400,7800-10900,11400-16600
legacy_controlled_1000_20260506,v3_request_000408,成都,limited,hard,4200,3728,below,full_request_rebudget_or_regen,limited,,,4600-6000,6800-9300,9900-14000,14700-21600
legacy_controlled_1000_20260506,v3_request_000407,昆明,standard,soft,2900,1780,below,relabel_budget_level_only,limited,limited,,2700-3300,3700-4900,5100-7000,7300-10500
legacy_controlled_1000_20260506,v3_request_000409,厦门,comfortable,soft,4000,2976,below,relabel_budget_level_only,standard,standard,limited,2700-3300,3700-4800,5100-7000,7300-10400
legacy_controlled_1000_20260506,v3_request_000395,昆明,comfortable,soft,1500,1002,below,relabel_budget_level_only,standard,standard,,1200-1400,1500-1900,2000-2600,2700-3800
legacy_controlled_1000_20260506,v3_request_000391,三亚,comfortable,soft,20700,17715,above,relabel_budget_level_only,premium,premium,comfortable,8400-10000,10900-13700,14400-19100,19900-27800
legacy_controlled_1000_20260506,v3_request_000411,上海,standard,soft,2600,2082,below,relabel_budget_level_only,limited,limited,,2400-3100,3500-4800,5000-7100,7500-10900
legacy_controlled_1000_20260506,v3_request_000422,张家界,limited,hard,600,596,below,full_request_rebudget_or_regen,limited,,,1200-1400,1500-1800,1900-2500,2600-3500
legacy_controlled_1000_20260506,v3_request_000413,昆明,limited,soft,1000,798,below,full_request_rebudget_or_regen,limited,,,1500-1800,2000-2600,2700-3700,3800-5400
legacy_controlled_1000_20260506,v3_request_000427,丽江,limited,soft,1600,1627,below,full_request_rebudget_or_regen,limited,,,2200-2600,2900-3600,3800-5100,5300-7400
legacy_controlled_1000_20260506,v3_request_000426,洛阳,limited,soft,9400,7168,above,relabel_budget_level_only,standard,standard,limited,6700-8200,9200-11900,12500-17100,17800-25400
legacy_controlled_1000_20260506,v3_request_000431,西安,standard,soft,9800,7060,below,relabel_budget_level_only,limited,limited,,8600-10500,11600-14900,15600-21200,22100-31300
legacy_controlled_1000_20260506,v3_request_000421,张家界,limited,soft,1400,1264,below,full_request_rebudget_or_regen,limited,,,1800-2200,2400-3100,3300-4400,4600-6500
