record_id,category,label,decision,reason,city,budget_level,strictness,amount,recommended_min,recommended_max,teacher_budget_total,target_min,target_max,request_budget_status,teacher_budget_status,candidate_high_ratio,candidate_reach_amount,food_pois
v3_request_404063,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,comfortable,soft,4700,4200,5100,4569,3300,5200,ok,ok,1.2283,True,37
v3_request_404053,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,大理,comfortable,soft,3600,3600,4900,2586,2500,4000,ok,ok,1.1461,True,33
v3_request_404060,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,昆明,limited,soft,3100,2800,3400,2342,2200,3300,ok,ok,1.5548,True,33
v3_request_404070,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,青岛,comfortable,soft,2600,2300,2900,2020,1800,2900,ok,ok,1.4481,True,31
v3_request_404046,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,standard,soft,7900,7900,10400,7756,4700,8300,ok,ok,1.0347,True,25
v3_request_404043,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,长沙,standard,none,5800,5800,7300,5722,0,0,ok,no_budget_policy,1.1976,True,27
v3_request_405069,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,comfortable,soft,7900,6700,9200,7876,5500,8700,ok,ok,1.6091,True,37
v3_request_406071,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,comfortable,soft,5100,4200,5100,3692,3600,5600,ok,ok,1.1227,True,30
v3_request_404022,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,standard,soft,14200,10900,14200,11228,8500,14900,ok,ok,1.1206,True,28
v3_request_404074,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,standard,soft,3000,2700,3300,2959,1800,3200,ok,ok,1.9057,True,24
v3_request_405073,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,hard,5800,5800,7000,4529,4200,5800,ok,ok,1.3434,True,30
v3_request_406072,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,大理,premium,none,22700,16400,22700,10928,0,0,ok,no_budget_policy,0.5361,False,39
v3_request_404076,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,4500,3900,5100,2746,2700,4700,ok,ok,1.1231,True,25
v3_request_404020,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,comfortable,soft,17800,15000,20500,12540,12500,19600,ok,ok,1.3045,True,40
v3_request_404078,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,成都,limited,none,4100,3200,4100,4088,0,0,ok,no_budget_policy,1.6741,True,38
v3_request_405051,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,limited,soft,11900,11900,15000,11844,8600,12500,ok,ok,1.3553,True,27
v3_request_405079,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,limited,soft,6400,5700,7100,5104,4600,6700,ok,ok,1.4269,True,33
v3_request_404077,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,泉州,comfortable,soft,2700,2100,2700,2660,1900,3000,ok,ok,1.2848,True,33
v3_request_405080,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,上海,standard,none,2900,2500,3300,2854,0,0,ok,no_budget_policy,1.4524,True,21
v3_request_404084,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,西安,comfortable,soft,3900,3900,5200,3606,2700,4300,ok,ok,1.3785,True,31
v3_request_404081,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,standard,soft,5400,4600,6200,3259,3200,5700,ok,ok,1.2231,True,30
v3_request_404088,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,limited,soft,4300,4300,5400,3502,3100,4500,ok,ok,1.486,True,28
v3_request_404082,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,5600,5600,7200,5766,3400,5900,ok,ok,1.3607,True,28
v3_request_404092,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,扬州,limited,hard,4300,4300,5500,4200,3100,4300,ok,ok,2.1084,True,34
v3_request_404085,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,standard,hard,2700,2300,3100,2076,1600,2700,ok,ok,1.1533,True,27
v3_request_406093,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,standard,soft,9100,7800,10300,9160,5500,9600,ok,ok,1.5105,True,25
v3_request_404096,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,苏州,comfortable,none,13700,9900,13700,6264,0,0,ok,no_budget_policy,1.3082,True,30
v3_request_405091,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,limited,hard,5400,5000,5900,5065,3900,5400,ok,ok,1.4307,True,38
v3_request_404099,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,limited,soft,900,900,1200,601,600,900,ok,ok,1.6578,True,24
v3_request_404103,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,哈尔滨,limited,hard,3300,2700,3300,2980,2400,3300,ok,ok,1.3812,True,28
v3_request_404090,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,苏州,comfortable,soft,21300,15600,21300,18008,14900,23400,ok,ok,1.2586,True,32
v3_request_404102,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,哈尔滨,standard,soft,4000,3500,4600,2402,2400,4200,ok,ok,1.0315,True,23
v3_request_404098,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,泉州,comfortable,soft,10800,8000,10800,7600,7600,11900,ok,ok,1.165,True,33
v3_request_404068,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,comfortable,soft,7600,7600,10400,7572,5300,8400,ok,ok,1.9987,True,27
v3_request_404108,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,limited,soft,2600,2600,3400,1976,1900,2700,ok,ok,1.8154,True,39
v3_request_405105,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,厦门,standard,none,3700,3700,4600,2227,0,0,ok,no_budget_policy,0.8141,False,22
v3_request_404110,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,洛阳,standard,none,4800,3800,4800,2130,0,0,ok,no_budget_policy,0.8629,False,28
v3_request_405104,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,limited,soft,2400,2300,2600,1857,1700,2500,ok,ok,1.2371,True,18
v3_request_404095,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,standard,soft,5300,5300,7000,4536,3200,5600,ok,ok,1.3928,True,21
v3_request_405101,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,厦门,comfortable,none,14500,12600,16400,14200,0,0,ok,no_budget_policy,1.0135,True,31
v3_request_404083,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,西安,comfortable,soft,13500,11400,15600,10888,9400,14900,ok,ok,1.2276,True,39
v3_request_404106,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,standard,soft,2900,2500,3300,2210,1700,3000,ok,ok,1.4179,True,21
v3_request_405114,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,杭州,limited,soft,3000,2300,3000,2995,2200,3200,ok,ok,1.274,True,34
v3_request_404086,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,厦门,comfortable,soft,3200,2700,3700,2210,2200,3500,ok,ok,1.065,True,29
v3_request_404113,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,limited,soft,2000,2000,2600,1904,1400,2100,ok,ok,1.673,True,27
v3_request_404116,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,premium,soft,15600,13000,18200,13174,11700,17500,ok,ok,1.5297,True,37
v3_request_406120,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,standard,soft,6000,5200,6700,4490,3600,6300,ok,ok,1.2363,True,23
v3_request_404111,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,西安,limited,soft,4300,3300,4300,3154,3100,4500,ok,ok,1.0474,True,25
v3_request_404126,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,comfortable,soft,3500,3500,4900,2572,2400,3900,ok,ok,1.7891,True,33
v3_request_404112,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,昆明,standard,soft,10700,10700,13500,8803,6400,11200,ok,ok,1.3766,True,31
v3_request_405129,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,limited,hard,1600,1400,1600,1235,1200,1600,ok,ok,1.2831,True,24
v3_request_405124,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,长沙,premium,none,9300,7800,10900,2672,0,0,ok,no_budget_policy,0.8301,False,35
v3_request_404128,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,comfortable,soft,1700,1700,2400,1404,1200,1900,ok,ok,1.3041,True,34
v3_request_404097,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,昆明,limited,soft,2300,2100,2500,1718,1700,2400,ok,ok,1.0274,True,27
v3_request_404094,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,天津,comfortable,soft,6900,6900,9500,6177,4800,7600,ok,ok,1.303,True,39
v3_request_404118,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,扬州,standard,soft,6100,6100,8200,6096,3700,6400,ok,ok,1.5384,True,23
v3_request_404130,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,沈阳,limited,soft,8900,8900,10800,8760,6400,9300,ok,ok,1.6247,True,33
v3_request_405132,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,comfortable,soft,10700,9300,12100,9636,7500,11800,ok,ok,1.4419,True,29
v3_request_404121,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,standard,soft,8200,6500,8200,7757,4900,8600,ok,ok,1.0224,True,31
v3_request_404138,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,泉州,limited,hard,4500,4500,5300,4399,3200,4500,ok,ok,1.4216,True,36
v3_request_404135,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,福州,limited,none,3000,3000,3400,1666,0,0,ok,no_budget_policy,1.1457,True,26
v3_request_404133,repair_teacher_regen,需重生成 teacher,repair,请求预算符合新分档，但 teacher 预算低于目标区间，需要重生成 teacher。,北京,comfortable,soft,6300,5300,7400,4134,4400,6900,ok,below,1.6121,True,33
v3_request_404100,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,comfortable,soft,20200,17600,22800,19968,14100,22200,ok,ok,1.5161,True,39
v3_request_404136,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,三亚,standard,soft,4200,3700,4800,3108,2500,4400,ok,ok,1.1414,True,29
v3_request_405125,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,comfortable,soft,15600,15600,21200,13452,10900,17200,ok,ok,1.9641,True,39
v3_request_404137,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,luxury,soft,24800,17900,24800,20540,18600,29300,ok,ok,1.372,True,35
v3_request_404142,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,福州,standard,soft,3800,3800,4800,2658,2300,4000,ok,ok,1.1032,True,23
v3_request_404140,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,成都,limited,soft,1700,1700,2000,1540,1200,1800,ok,ok,1.3424,True,27
v3_request_405119,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,standard,soft,6900,6900,9200,4100,4100,7200,ok,ok,1.0355,True,22
v3_request_404134,repair_teacher_regen,需重生成 teacher,repair,请求预算符合新分档，但 teacher 预算低于目标区间，需要重生成 teacher。,苏州,comfortable,soft,15500,11800,15500,10188,10800,17000,ok,below,1.2892,True,37
v3_request_404139,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,comfortable,soft,11900,11900,15700,8316,8300,13100,ok,ok,1.2414,True,40
v3_request_404107,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,长沙,limited,soft,8700,7100,8700,6356,6300,9100,ok,ok,1.1546,True,38
v3_request_404146,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,武汉,comfortable,soft,7700,7700,10500,5530,5400,8500,ok,ok,1.1077,True,40
v3_request_404147,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,泉州,limited,soft,4500,4500,5700,4415,3200,4700,ok,ok,1.8484,True,36
v3_request_404148,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,沈阳,standard,none,2400,2100,2600,1773,0,0,ok,no_budget_policy,0.89,False,24
v3_request_405150,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,limited,hard,3300,3000,3700,2486,2400,3300,ok,ok,1.7812,True,33
v3_request_404156,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,南京,comfortable,none,5600,4400,5600,1817,0,0,ok,no_budget_policy,1.0329,True,36
v3_request_404154,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,哈尔滨,limited,soft,4500,3500,4500,3815,3200,4700,ok,ok,1.4938,True,32
v3_request_404152,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,南京,comfortable,soft,4600,3700,4600,3228,3200,5100,ok,ok,1.5767,True,38
v3_request_404155,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,天津,limited,hard,3700,3400,4100,2950,2700,3700,ok,ok,1.1568,True,33
v3_request_404127,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,广州,limited,hard,5600,5600,7000,5428,4000,5600,ok,ok,1.9554,True,32
v3_request_404153,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,北京,limited,soft,3000,2300,3000,2302,2200,3200,ok,ok,3.1657,True,30
v3_request_404149,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,上海,limited,soft,3800,2900,3800,3564,2700,4000,ok,ok,2.2884,True,33
v3_request_404161,usable_budget_clean,预算主集可用,use,请求预算符合新分档，teacher 预算在目标区间，候选池可支撑预算。,深圳,comfortable,soft,7000,7000,9100,5012,4900,7700,ok,ok,1.4679,True,40
v3_request_404160,nonbudget_only,仅适合非预算 SFT,nonbudget_only,strictness=none，无预算目标区间；可保留作 schema/grounding，预算训练不使用。,天津,standard,none,4600,4600,5900,3548,0,0,ok,no_budget_policy,0.9557,False,23
